old_pay_item,old_desc,new_pay_item,new_desc,course,nmas_mm,esal_cat,binder_class,status
401-07393,"QC/QA-HMA, 4, 64, INTERMEDIATE, 19.0 mm",401-000039,"QC/QA-HMA, 4, 58S, INTERMEDIATE, 19.0 mm",Intermediate,19.0,4,58S,ACTIVE
401-07397,"QC/QA-HMA, 2, 70, INTERMEDIATE, 19.0 mm",401-000040,"QC/QA-HMA, 2, 58H, INTERMEDIATE, 19.0 mm",Intermediate,19.0,2,58H,ACTIVE
401-07398,"QC/QA-HMA, 3, 70, INTERMEDIATE, 19.0 mm",401-000041,"QC/QA-HMA, 3, 58H, INTERMEDIATE, 19.0 mm",Intermediate,19.0,3,58H,ACTIVE
401-07399,"QC/QA-HMA, 4, 70, INTERMEDIATE, 19.0 mm",401-000042,"QC/QA-HMA, 4, 58H, INTERMEDIATE, 19.0 mm",Intermediate,19.0,4,58H,ACTIVE
401-07402,"QC/QA-HMA, 2, 76, INTERMEDIATE, 19.0 mm",401-000043,"QC/QA-HMA, 2, 58E, INTERMEDIATE, 19.0 mm",Intermediate,19.0,2,58E,ACTIVE
401-07403,"QC/QA-HMA, 3, 76, INTERMEDIATE, 19.0 mm",401-000044,"QC/QA-HMA, 3, 58E, INTERMEDIATE, 19.0 mm",Intermediate,19.0,3,58E,ACTIVE
401-07404,"QC/QA-HMA, 4, 76, INTERMEDIATE, 19.0 mm",401-000045,"QC/QA-HMA, 4, 58E, INTERMEDIATE, 19.0 mm",Intermediate,19.0,4,58E,ACTIVE
401-07407,"QC/QA-HMA, 2, 64, BASE, 25.0 mm",401-000046,"QC/QA-HMA, 2, 58S, BASE, 25.0 mm",Base,25.0,2,58S,ACTIVE
401-07408,"QC/QA-HMA, 3, 64, BASE, 25.0 mm",401-000047,"QC/QA-HMA, 3, 58S, BASE, 25.0 mm",Base,25.0,3,58S,ACTIVE
401-07409,"QC/QA-HMA, 4, 64, BASE, 25.0 mm",401-000048,"QC/QA-HMA, 4, 58S, BASE, 25.0 mm",Base,25.0,4,58S,ACTIVE
401-07412,"QC/QA-HMA, 2, 70, BASE, 25.0 mm",401-000049,"QC/QA-HMA, 2, 58H, BASE, 25.0 mm",Base,25.0,2,58H,ACTIVE
401-07413,"QC/QA-HMA, 3, 70, BASE, 25.0 mm",401-000050,"QC/QA-HMA, 3, 58H, BASE, 25.0 mm",Base,25.0,3,58H,ACTIVE
401-07414,"QC/QA-HMA, 4, 70, BASE, 25.0 mm",401-000051,"QC/QA-HMA, 4, 58H, BASE, 25.0 mm",Base,25.0,4,58H,ACTIVE
401-07423,"QC/QA-HMA, 2, 64, BASE, 19.0 mm",401-000052,"QC/QA-HMA, 2, 58S, BASE, 19.0 mm",Base,19.0,2,58S,ACTIVE
401-07424,"QC/QA-HMA, 3, 64, BASE, 19.0 mm",401-000053,"QC/QA-HMA, 3, 58S, BASE, 19.0 mm",Base,19.0,3,58S,ACTIVE
401-07427,"QC/QA-HMA, 2, 70, BASE, 19.0 mm",401-000054,"QC/QA-HMA, 2, 58H, BASE, 19.0 mm",Base,19.0,2,58H,ACTIVE
401-07428,"QC/QA-HMA, 3, 70, BASE, 19.0 mm",401-000055,"QC/QA-HMA, 3, 58H, BASE, 19.0 mm",Base,19.0,3,58H,ACTIVE
401-08364,"QC/QA-HMA, 4, 64, BASE, 19.0 mm",401-000056,"QC/QA-HMA, 4, 58S, BASE, 19.0 mm",Base,19.0,4,58S,ACTIVE
401-08366,"QC/QA-HMA, 4, 70, BASE, 19.0 mm",401-000057,"QC/QA-HMA, 4, 58H, BASE, 19.0 mm",Base,19.0,4,58H,ACTIVE
401-09717,"QC/QA-HMA, 3, 64, SURFACE, 4.75 mm",401-000058,"QC/QA-HMA, 3, 58S, SURFACE, 4.75 mm",Surface,4.75,3,58S,ACTIVE
401-09941,"QC/QA-HMA, 3, 70, SURFACE, 4.75 mm",401-000059,"QC/QA-HMA, 3, 58H, SURFACE, 4.75 mm",Surface,4.75,3,58H,ACTIVE
401-09949,"QC/QA-HMA, 2, 70, SURFACE, 4.75 mm",401-000060,"QC/QA-HMA, 2, 58H, SURFACE, 4.75 mm",Surface,4.75,2,58H,ACTIVE
401-09970,"QC/QA-HMA, 2, 64, SURFACE, 4.75 mm",401-000061,"QC/QA-HMA, 2, 58S, SURFACE, 4.75 mm",Surface,4.75,2,58S,ACTIVE
401-11787,"QC/QA-HMA, 3, 76, INTERMEDIATE, OG, 19.0 mm",401-000062,"QC/QA-HMA, 3, 58E, INTERMEDIATE, OG, 19.0 mm",Intermediate,19.0,3,58E,ACTIVE
401-11897,"QC/QA-HMA, 2, 64, INTERMEDIATE, 25.0 mm",401-000063,"QC/QA-HMA, 2, 58S, INTERMEDIATE, 25.0 mm",Intermediate,25.0,2,58S,ACTIVE
401-11915,"QC/QA-HMA, 4, 76, SURFACE, 4.75 mm",401-000064,"QC/QA-HMA, 4, 58E, SURFACE, 4.75 mm",Surface,4.75,4,58E,ACTIVE
401-11966,"QC/QA-HMA, 3, 76, SURFACE, 4.75 mm",401-000065,"QC/QA-HMA, 3, 58E, SURFACE, 4.75 mm",Surface,4.75,3,58E,ACTIVE
